Date,Open,High,Low,Close,AdjClose,TotalVolume
1/3/2005,98.8,101.92,97.82,101.45,,15860692
1/4/2005,100.76,101.56,96.83,97.34,,13762396
1/5/2005,96.82,98.55,96.21,96.85,,8239545
1/6/2005,97.72,98.04,93.95,94.37,,10389803
1/7/2005,95.41,97.22,94.48,97.02,,9666175
1/10/2005,97.34,99.15,96.01,97.62,,7554795
1/11/2005,97.9,98.95,96.68,96.86,,6962544
1/12/2005,97.26,98.06,95.34,97.78,,8361295
1/13/2005,97.78,98.79,97.12,97.76,,6852573
1/14/2005,98.1,100.1,97.16,100.08,,9643747
1/18/2005,100.54,102.61,99.43,102.05,,13237127
1/19/2005,102.42,102.75,98.45,98.75,,11351583
1/20/2005,96.38,98.22,96.09,97.05,,9003777
1/21/2005,97.31,97.77,94.15,94.23,,9294685
1/24/2005,94.44,94.76,90.25,90.45,,14034232
1/25/2005,91.19,91.21,88.23,88.65,,10696013
1/26/2005,89.72,94.8,89.66,94.71,,12345935
1/27/2005,94.47,94.52,92.69,94.13,,6631221
1/28/2005,95.1,97.44,93.26,95.26,,12212727
1/31/2005,96.94,98.28,95.95,97.9,,9600561
2/1/2005,97.28,98.43,95.41,96.04,,19153968
2/2/2005,107.88,108.51,101.93,103.08,,32874260
2/3/2005,103.09,106.79,103,105.53,,13005885
2/4/2005,103.33,103.98,101.4,102.28,,14823134
2/7/2005,102.73,103.3,97.85,98.11,,12981698
2/8/2005,98.58,100.11,97.36,99.42,,11493216
2/9/2005,100.48,100.9,94.82,95.88,,17310424
2/10/2005,96.08,96.2,92.71,94.08,,18986724
2/11/2005,93.42,96.25,93.13,93.79,,13126137
2/14/2005,91.51,96.63,90.59,96.59,,38576168
2/15/2005,96.9,100.02,96.63,97.71,,25857576
2/16/2005,97.44,99.76,97.24,99.3,,16653921
2/17/2005,99.01,99.97,98.5,99.05,,10426333
2/18/2005,99.35,99.52,98.43,99.07,,8507046
2/22/2005,98.35,99.55,95.29,95.78,,13506512
2/23/2005,96.74,97.33,94.42,97.07,,15650711
2/24/2005,91.77,95.02,91.2,94.54,,25837038
2/25/2005,94.67,95.05,92.84,93.03,,9983901
2/28/2005,93.09,95.03,93.02,94.09,,7824418
3/1/2005,94.74,94.97,92.78,93.12,,9431762
3/2/2005,93.07,93.93,92.27,92.68,,7325936
3/3/2005,93.16,93.97,92.24,93.59,,7612159
3/4/2005,93.44,93.72,92.62,93.04,,6778129
3/7/2005,93.98,94.89,93.61,94.5,,8710529
3/8/2005,94.64,95.02,92.57,92.69,,8046020
3/9/2005,92.19,92.41,90.17,90.76,,11375297
3/10/2005,90.59,90.69,88.79,90.08,,10964011
3/11/2005,90.31,90.56,88.66,88.99,,8030469
3/14/2005,89.25,89.29,86.37,87.58,,11146592
3/15/2005,87.73,90.09,87.19,89.39,,10444435
3/16/2005,88.44,89.39,87.59,87.89,,7151929
3/17/2005,88.65,89.91,87.99,89.73,,8261695
3/18/2005,89.49,90.29,89.24,90.11,,7153356
3/21/2005,89.72,91.17,88.71,90.53,,7483615
3/22/2005,90.68,91.06,89.01,89.39,,5649453
3/23/2005,89.07,90.21,89.07,89.58,,4857419
3/24/2005,90.44,90.52,89.69,89.71,,3727539
3/28/2005,90.93,92.49,90.56,90.8,,8748100
3/29/2005,90.61,91.73,89.12,89.87,,6478302
3/30/2005,90.41,90.81,89.89,90.31,,6260231
3/31/2005,89.06,90.78,88.91,90.34,,6770462
4/1/2005,90.97,91.56,90.08,90.11,,6196416
4/4/2005,90.06,92.75,90.01,92.73,,8078608
4/5/2005,93.96,95.22,93.88,94.38,,8750113
4/6/2005,94.71,94.92,93.88,94.7,,5278872
4/7/2005,94.48,97.4,94.41,96.97,,9694562
4/8/2005,96.94,97.64,95.82,96.12,,5116704
4/11/2005,96.64,97.49,96.25,96.71,,5411925
4/12/2005,96.59,97.3,94.8,97.07,,7322292
4/13/2005,96.83,97.25,94.96,96.56,,6558128
4/14/2005,96.73,97.27,95.14,95.82,,6162356
4/15/2005,95.14,95.26,92.42,92.59,,11584509
4/18/2005,92.38,94.03,91.83,93.58,,6553403
4/19/2005,94.76,96.09,94.11,95.79,,8560170
4/20/2005,99.39,100.35,98.05,99.15,,15469239
4/21/2005,100.31,102.6,99.76,102.21,,18683042
4/22/2005,111.56,112.11,107.23,108.01,,33222628
4/25/2005,109.02,112.48,108.87,111.87,,19861020
4/26/2005,110.22,111.11,109.25,109.48,,17285020
4/27/2005,109.1,110.53,108.47,110,,10317176
4/28/2005,109.86,111.15,108.96,109.83,,8691968
4/29/2005,111.06,111.23,109.02,110.11,,9183854
5/2/2005,111.13,111.96,110.21,111.25,,9778195
