Ticker,Description,"Available since","Backfilled to"
QLD,"ProShares Ultra QQQ ETF",06/21/2006,03/04/1999
TQQQ,"ProShares UltraPro QQQ ETF",02/11/2010,03/04/1999
UDOW,"ProShares UltraPro Dow30 ETF",02/11/2010,06/01/1976
URTY,"ProShares UltraPro Russell2000 ETF",02/11/2010,12/29/1978
UBT,"ProShares Ultra 20+ Year Treasury ETF",01/21/2010,01/01/1970
TMF,"Direxion Daily 20+ Year Treasury Bull 3X Shares ETF",04/16/2009,01/01/1970
UST,"ProShares Ultra 7-10 Year Treasury ETF",01/21/2010,01/01/1970
TYD,"Direxion Daily 7-10 Year Treasury Bull 3X Shares ETF",04/16/2009,01/01/1970
UGL,"ProShares Ultra Gold ETF",02/11/2010,07/01/1982
UGLDF,"Credit Suisse VelocityShares 3x Long Gold SP GSCI Gold Index ER ETN",10/17/2011,07/01/1982
VXX,"Barclays iPath Series B S&P 500 VIX Short-Term Futures ETN",01/18/2018,01/02/2008

