Date,Open,High,Low,Close,Volume
01/02/1990,1000.0000,1000.0000,1000.0000,1000.0000,0.0000
01/03/1990,999.8460,999.8460,999.8460,999.8460,0.0000
01/04/1990,994.9876,994.9876,994.9876,994.9876,0.0000
01/05/1990,986.8661,986.8661,986.8661,986.8661,0.0000
01/08/1990,994.3815,994.3815,994.3815,994.3815,0.0000
01/09/1990,984.2878,984.2878,984.2878,984.2878,0.0000
01/10/1990,978.8200,978.8200,978.8200,978.8200,0.0000
01/11/1990,982.3876,982.3876,982.3876,982.3876,0.0000
01/12/1990,957.2272,957.2272,957.2272,957.2272,0.0000
01/15/1990,950.1638,950.1638,950.1638,950.1638,0.0000
01/16/1990,958.4393,958.4393,958.4393,958.4393,0.0000
01/17/1990,946.5208,946.5208,946.5208,946.5208,0.0000
01/18/1990,949.1024,949.1024,949.1024,949.1024,0.0000
01/19/1990,953.2008,953.2008,953.2008,953.2008,0.0000
01/22/1990,925.6323,925.6323,925.6323,925.6323,0.0000
01/23/1990,930.9233,930.9233,930.9233,930.9233,0.0000
01/24/1990,927.0771,927.0771,927.0771,927.0771,0.0000
01/25/1990,911.6040,911.6040,911.6040,911.6040,0.0000
01/26/1990,911.2633,911.2633,911.2633,911.2633,0.0000
01/29/1990,910.3329,910.3329,910.3329,910.3329,0.0000
01/30/1990,906.7685,906.7685,906.7685,906.7685,0.0000
01/31/1990,923.6339,923.6339,923.6339,923.6339,0.0000
02/01/1990,922.2677,922.2677,922.2677,922.2677,0.0000
02/02/1990,928.6169,928.6169,928.6169,928.6169,0.0000
02/05/1990,937.0889,937.0889,937.0889,937.0889,0.0000
02/06/1990,931.7423,931.7423,931.7423,931.7423,0.0000
02/07/1990,944.2767,944.2767,944.2767,944.2767,0.0000
02/08/1990,945.8066,945.8066,945.8066,945.8066,0.0000
02/09/1990,947.9197,947.9197,947.9197,947.9197,0.0000
02/12/1990,937.9963,937.9963,937.9963,937.9963,0.0000
02/13/1990,939.7720,939.7720,939.7720,939.7720,0.0000
02/14/1990,939.8539,939.8539,939.8539,939.8539,0.0000
02/15/1990,949.1810,949.1810,949.1810,949.1810,0.0000
02/16/1990,945.5281,945.5281,945.5281,945.5281,0.0000
02/20/1990,931.6309,931.6309,931.6309,931.6309,0.0000
02/21/1990,926.8641,926.8641,926.8641,926.8641,0.0000
02/22/1990,923.7125,923.7125,923.7125,923.7125,0.0000
02/23/1990,920.2365,920.2365,920.2365,920.2365,0.0000
02/26/1990,933.9766,933.9766,933.9766,933.9766,0.0000
02/27/1990,939.2806,939.2806,939.2806,939.2806,0.0000
02/28/1990,943.2251,943.2251,943.2251,943.2251,0.0000
03/01/1990,946.2161,946.2161,946.2161,946.2161,0.0000
03/02/1990,955.1107,955.1107,955.1107,955.1107,0.0000
03/05/1990,951.5201,951.5201,951.5201,951.5201,0.0000
03/06/1990,961.3059,961.3059,961.3059,961.3059,0.0000
03/07/1990,958.7177,958.7177,958.7177,958.7177,0.0000
03/08/1990,968.2611,968.2611,968.2611,968.2611,0.0000
03/09/1990,964.1299,964.1299,964.1299,964.1299,0.0000
03/12/1990,965.3454,965.3454,965.3454,965.3454,0.0000
03/13/1990,960.9750,960.9750,960.9750,960.9750,0.0000
03/14/1990,965.7483,965.7483,965.7483,965.7483,0.0000
03/15/1990,968.5821,968.5821,968.5821,968.5821,0.0000
03/16/1990,984.9299,984.9299,984.9299,984.9299,0.0000
03/19/1990,990.1062,990.1062,990.1062,990.1062,0.0000
03/20/1990,984.0388,984.0388,984.0388,984.0388,0.0000
03/21/1990,980.1534,980.1534,980.1534,980.1534,0.0000
03/22/1990,968.5821,968.5821,968.5821,968.5821,0.0000
03/23/1990,971.6584,971.6584,971.6584,971.6584,0.0000
03/26/1990,973.0835,973.0835,973.0835,973.0835,0.0000
03/27/1990,983.6064,983.6064,983.6064,983.6064,0.0000
03/28/1990,986.0340,986.0340,986.0340,986.0340,0.0000
03/29/1990,980.2877,980.2877,980.2877,980.2877,0.0000
03/30/1990,972.9230,972.9230,972.9230,972.9230,0.0000
04/02/1990,970.6428,970.6428,970.6428,970.6428,0.0000
04/03/1990,983.6752,983.6752,983.6752,983.6752,0.0000
04/04/1990,977.4440,977.4440,977.4440,977.4440,0.0000
04/05/1990,978.0927,978.0927,978.0927,978.0927,0.0000
04/06/1990,976.6348,976.6348,976.6348,976.6348,0.0000
04/09/1990,978.4137,978.4137,978.4137,978.4137,0.0000
04/10/1990,981.6538,981.6538,981.6538,981.6538,0.0000
04/11/1990,981.1656,981.1656,981.1656,981.1656,0.0000
04/12/1990,989.1004,989.1004,989.1004,989.1004,0.0000
04/16/1990,993.4412,993.4412,993.4412,993.4412,0.0000
04/17/1990,994.4143,994.4143,994.4143,994.4143,0.0000
04/18/1990,982.5908,982.5908,982.5908,982.5908,0.0000
04/19/1990,975.0590,975.0590,975.0590,975.0590,0.0000
04/20/1990,969.3094,969.3094,969.3094,969.3094,0.0000
04/23/1990,958.7833,958.7833,958.7833,958.7833,0.0000
04/24/1990,954.4097,954.4097,954.4097,954.4097,0.0000
04/25/1990,958.7014,958.7014,958.7014,958.7014,0.0000
04/26/1990,962.3444,962.3444,962.3444,962.3444,0.0000
04/27/1990,951.3432,951.3432,951.3432,951.3432,0.0000
04/30/1990,956.4999,956.4999,956.4999,956.4999,0.0000
05/01/1990,961.3845,961.3845,961.3845,961.3845,0.0000
05/02/1990,968.8508,968.8508,968.8508,968.8508,0.0000
05/03/1990,971.3668,971.3668,971.3668,971.3668,0.0000
05/04/1990,977.8240,977.8240,977.8240,977.8240,0.0000
05/07/1990,981.8865,981.8865,981.8865,981.8865,0.0000
05/08/1990,986.5843,986.5843,986.5843,986.5843,0.0000
05/09/1990,986.6007,986.6007,986.6007,986.6007,0.0000
05/10/1990,988.9268,988.9268,988.9268,988.9268,0.0000
05/11/1990,1012.2002,1012.2002,1012.2002,1012.2002,0.0000
05/14/1990,1020.2497,1020.2497,1020.2497,1020.2497,0.0000
05/15/1990,1020.5838,1020.5838,1020.5838,1020.5838,0.0000
05/16/1990,1019.5813,1019.5813,1019.5813,1019.5813,0.0000
05/17/1990,1023.9320,1023.9320,1023.9320,1023.9320,0.0000
05/18/1990,1019.6632,1019.6632,1019.6632,1019.6632,0.0000
05/21/1990,1029.4359,1029.4359,1029.4359,1029.4359,0.0000
05/22/1990,1032.1682,1032.1682,1032.1682,1032.1682,0.0000
05/23/1990,1033.6293,1033.6293,1033.6293,1033.6293,0.0000
05/24/1990,1033.3705,1033.3705,1033.3705,1033.3705,0.0000
05/25/1990,1021.5176,1021.5176,1021.5176,1021.5176,0.0000
05/29/1990,1039.7851,1039.7851,1039.7851,1039.7851,0.0000
05/30/1990,1042.7664,1042.7664,1042.7664,1042.7664,0.0000
05/31/1990,1042.4093,1042.4093,1042.4093,1042.4093,0.0000
06/01/1990,1051.2155,1051.2155,1051.2155,1051.2155,0.0000
06/04/1990,1063.6189,1063.6189,1063.6189,1063.6189,0.0000
06/05/1990,1059.9234,1059.9234,1059.9234,1059.9234,0.0000
06/06/1990,1055.0878,1055.0878,1055.0878,1055.0878,0.0000
06/07/1990,1049.8985,1049.8985,1049.8985,1049.8985,0.0000
06/08/1990,1037.2330,1037.2330,1037.2330,1037.2330,0.0000
06/11/1990,1048.5683,1048.5683,1048.5683,1048.5683,0.0000
06/12/1990,1063.3731,1063.3731,1063.3731,1063.3731,0.0000
06/13/1990,1062.0266,1062.0266,1062.0266,1062.0266,0.0000
06/14/1990,1061.4894,1061.4894,1061.4894,1061.4894,0.0000
06/15/1990,1064.2708,1064.2708,1064.2708,1064.2708,0.0000
06/18/1990,1044.8008,1044.8008,1044.8008,1044.8008,0.0000
06/19/1990,1048.9287,1048.9287,1048.9287,1048.9287,0.0000
06/20/1990,1049.5577,1049.5577,1049.5577,1049.5577,0.0000
06/21/1990,1051.8904,1051.8904,1051.8904,1051.8904,0.0000
06/22/1990,1035.7391,1035.7391,1035.7391,1035.7391,0.0000
06/25/1990,1031.5785,1031.5785,1031.5785,1031.5785,0.0000
06/26/1990,1030.5891,1030.5891,1030.5891,1030.5891,0.0000
06/27/1990,1037.7703,1037.7703,1037.7703,1037.7703,0.0000
06/28/1990,1043.7820,1043.7820,1043.7820,1043.7820,0.0000
06/29/1990,1044.6665,1044.6665,1044.6665,1044.6665,0.0000
07/02/1990,1051.3989,1051.3989,1051.3989,1051.3989,0.0000
07/03/1990,1055.8872,1055.8872,1055.8872,1055.8872,0.0000
07/05/1990,1044.1260,1044.1260,1044.1260,1044.1260,0.0000
07/06/1990,1053.4629,1053.4629,1053.4629,1053.4629,0.0000
07/09/1990,1056.7849,1056.7849,1056.7849,1056.7849,0.0000
07/10/1990,1048.3456,1048.3456,1048.3456,1048.3456,0.0000
07/11/1990,1063.5173,1063.5173,1063.5173,1063.5173,0.0000
07/12/1990,1076.9820,1076.9820,1076.9820,1076.9820,0.0000
07/13/1990,1080.7496,1080.7496,1080.7496,1080.7496,0.0000
