Date,Open,High,Low,Close,Volume
06/02/1976,1.00747E+003,1.01937E+003,9.90516E+002,1.00000E+003,0.00000E+000
06/03/1976,9.99529E+002,1.01030E+003,9.81976E+002,1.00132E+003,0.00000E+000
06/04/1976,1.00086E+003,1.02764E+003,9.98058E+002,1.02045E+003,0.00000E+000
06/07/1976,1.01998E+003,1.04426E+003,1.01504E+003,1.03068E+003,0.00000E+000
06/08/1976,1.03020E+003,1.03668E+003,1.00764E+003,1.02665E+003,0.00000E+000
06/09/1976,1.02617E+003,1.03801E+003,1.01184E+003,1.02742E+003,0.00000E+000
06/10/1976,1.02694E+003,1.03090E+003,1.00115E+003,1.00989E+003,0.00000E+000
06/11/1976,1.00941E+003,1.01306E+003,9.75751E+002,9.81835E+002,0.00000E+000
06/14/1976,9.79814E+002,9.79814E+002,9.50446E+002,9.61338E+002,0.00000E+000
06/15/1976,9.60887E+002,9.81811E+002,9.52593E+002,9.70124E+002,0.00000E+000
06/16/1976,9.69684E+002,9.79241E+002,9.46937E+002,9.59171E+002,0.00000E+000
06/17/1976,9.58728E+002,9.59480E+002,9.19067E+002,9.28653E+002,0.00000E+000
06/18/1976,9.28216E+002,9.38070E+002,9.06894E+002,9.25528E+002,0.00000E+000
06/21/1976,9.25105E+002,9.35447E+002,9.07808E+002,9.15832E+002,0.00000E+000
06/22/1976,9.15411E+002,9.35075E+002,9.05930E+002,9.29632E+002,0.00000E+000
06/23/1976,9.29216E+002,9.48434E+002,9.21493E+002,9.33167E+002,0.00000E+000
06/24/1976,9.32746E+002,9.39069E+002,9.12510E+002,9.22989E+002,0.00000E+000
06/25/1976,9.22566E+002,9.33588E+002,9.09233E+002,9.23811E+002,0.00000E+000
06/28/1976,9.23393E+002,9.36747E+002,9.12175E+002,9.28556E+002,0.00000E+000
06/29/1976,9.28138E+002,9.36752E+002,9.11985E+002,9.20421E+002,0.00000E+000
06/30/1976,9.13994E+002,9.20037E+002,8.92487E+002,9.06529E+002,0.00000E+000
07/01/1976,9.06112E+002,9.25923E+002,8.93947E+002,9.18103E+002,0.00000E+000
07/02/1976,9.17692E+002,9.25843E+002,9.01038E+002,9.08479E+002,0.00000E+000
07/06/1976,9.08063E+002,9.24112E+002,8.98294E+002,9.18006E+002,0.00000E+000
07/07/1976,9.17595E+002,9.30711E+002,9.05365E+002,9.12455E+002,0.00000E+000
07/08/1976,9.12039E+002,9.18891E+002,8.95877E+002,9.09404E+002,0.00000E+000
07/09/1976,9.08991E+002,9.12139E+002,8.83989E+002,8.91508E+002,0.00000E+000
07/12/1976,8.91097E+002,8.95171E+002,8.68688E+002,8.75478E+002,0.00000E+000
07/13/1976,8.75077E+002,8.87472E+002,8.60534E+002,8.78879E+002,0.00000E+000
07/14/1976,8.78487E+002,8.88796E+002,8.62857E+002,8.73831E+002,0.00000E+000
07/15/1976,8.73440E+002,8.93060E+002,8.68494E+002,8.85806E+002,0.00000E+000
07/16/1976,8.85418E+002,9.07806E+002,8.84240E+002,8.94172E+002,0.00000E+000
07/19/1976,8.93780E+002,9.08125E+002,8.82851E+002,9.00440E+002,0.00000E+000
07/20/1976,9.00046E+002,9.21448E+002,8.95213E+002,9.09884E+002,0.00000E+000
07/21/1976,9.09487E+002,9.18431E+002,8.94755E+002,9.07733E+002,0.00000E+000
07/22/1976,9.07331E+002,9.19041E+002,8.96843E+002,9.05408E+002,0.00000E+000
07/23/1976,9.05006E+002,9.12669E+002,8.91422E+002,9.02742E+002,0.00000E+000
07/26/1976,9.02340E+002,9.12746E+002,8.91414E+002,9.02167E+002,0.00000E+000
07/27/1976,9.01766E+002,9.18056E+002,8.94140E+002,9.11990E+002,0.00000E+000
07/28/1976,9.11589E+002,9.32203E+002,9.09827E+002,9.19165E+002,0.00000E+000
07/29/1976,9.18760E+002,9.31064E+002,9.09132E+002,9.20900E+002,0.00000E+000
07/30/1976,9.14444E+002,9.22698E+002,8.97396E+002,9.05292E+002,0.00000E+000
08/02/1976,9.04885E+002,9.18882E+002,8.95437E+002,9.09259E+002,0.00000E+000
08/03/1976,9.08859E+002,9.15906E+002,8.85960E+002,8.92125E+002,0.00000E+000
08/04/1976,8.91725E+002,8.98917E+002,8.73914E+002,8.86758E+002,0.00000E+000
08/05/1976,8.86366E+002,9.02493E+002,8.80764E+002,8.96212E+002,0.00000E+000
08/06/1976,8.95823E+002,9.08762E+002,8.88922E+002,8.96858E+002,0.00000E+000
08/09/1976,8.96466E+002,9.09940E+002,8.92493E+002,9.01648E+002,0.00000E+000
08/10/1976,9.01256E+002,9.06133E+002,8.80007E+002,8.85232E+002,0.00000E+000
08/11/1976,8.84838E+002,8.96364E+002,8.70770E+002,8.90770E+002,0.00000E+000
08/12/1976,8.90385E+002,9.02021E+002,8.80459E+002,8.87646E+002,0.00000E+000
08/13/1976,8.87259E+002,8.97645E+002,8.77554E+002,8.86748E+002,0.00000E+000
08/16/1976,8.86362E+002,8.95035E+002,8.73779E+002,8.83302E+002,0.00000E+000
08/17/1976,8.82917E+002,8.90526E+002,8.69052E+002,8.76661E+002,0.00000E+000
08/18/1976,8.76279E+002,8.87651E+002,8.66078E+002,8.80293E+002,0.00000E+000
08/19/1976,8.79915E+002,9.06003E+002,8.76885E+002,8.99607E+002,0.00000E+000
08/20/1976,9.00620E+002,9.24103E+002,9.00620E+002,9.16971E+002,0.00000E+000
08/23/1976,9.16585E+002,9.40401E+002,9.14436E+002,9.23927E+002,0.00000E+000
08/24/1976,9.23533E+002,9.41286E+002,9.11033E+002,9.36032E+002,0.00000E+000
08/25/1976,9.35635E+002,9.51157E+002,9.14570E+002,9.21592E+002,0.00000E+000
08/26/1976,9.21190E+002,9.39608E+002,9.11078E+002,9.34010E+002,0.00000E+000
08/27/1976,9.33615E+002,9.47805E+002,9.22926E+002,9.30666E+002,0.00000E+000
08/30/1976,9.30266E+002,9.35033E+002,9.11382E+002,9.19449E+002,0.00000E+000
08/31/1976,9.12974E+002,9.15323E+002,8.89305E+002,8.97797E+002,0.00000E+000
09/01/1976,8.97404E+002,9.02811E+002,8.73162E+002,8.77347E+002,0.00000E+000
09/02/1976,8.76964E+002,8.86909E+002,8.63817E+002,8.79324E+002,0.00000E+000
09/03/1976,8.78950E+002,8.88423E+002,8.66940E+002,8.72522E+002,0.00000E+000
09/07/1976,8.72148E+002,8.78335E+002,8.55257E+002,8.59939E+002,0.00000E+000
09/08/1976,8.59568E+002,8.70862E+002,8.48111E+002,8.61041E+002,0.00000E+000
09/09/1976,8.60676E+002,8.77572E+002,8.57724E+002,8.69534E+002,0.00000E+000
09/10/1976,8.69170E+002,8.79327E+002,8.58680E+002,8.65007E+002,0.00000E+000
09/13/1976,8.64639E+002,8.77363E+002,8.54064E+002,8.70588E+002,0.00000E+000
09/14/1976,8.70223E+002,8.86578E+002,8.66718E+002,8.76064E+002,0.00000E+000
09/15/1976,8.75696E+002,8.86818E+002,8.62891E+002,8.70473E+002,0.00000E+000
09/16/1976,8.70104E+002,8.76948E+002,8.47736E+002,8.51909E+002,0.00000E+000
09/17/1976,8.51542E+002,8.54775E+002,8.27776E+002,8.36506E+002,0.00000E+000
09/20/1976,8.36148E+002,8.44488E+002,8.21513E+002,8.35361E+002,0.00000E+000
09/21/1976,8.35010E+002,8.38623E+002,8.06580E+002,8.11292E+002,0.00000E+000
09/22/1976,8.10943E+002,8.24631E+002,7.97557E+002,8.16508E+002,0.00000E+000
09/23/1976,8.16171E+002,8.32272E+002,8.08576E+002,8.24374E+002,0.00000E+000
09/24/1976,8.24034E+002,8.37753E+002,8.17252E+002,8.25884E+002,0.00000E+000
09/27/1976,8.25542E+002,8.32499E+002,8.11629E+002,8.18276E+002,0.00000E+000
09/28/1976,8.17934E+002,8.43248E+002,8.13816E+002,8.38521E+002,0.00000E+000
09/29/1976,8.38181E+002,8.55432E+002,8.29793E+002,8.46886E+002,0.00000E+000
09/30/1976,8.41229E+002,8.54124E+002,8.33654E+002,8.43325E+002,0.00000E+000
10/01/1976,8.42973E+002,8.69246E+002,8.34803E+002,8.60114E+002,0.00000E+000
10/04/1976,8.59765E+002,8.72145E+002,8.52336E+002,8.62075E+002,0.00000E+000
10/05/1976,8.61720E+002,8.86901E+002,8.58075E+002,8.74973E+002,0.00000E+000
10/06/1976,8.74618E+002,8.94613E+002,8.66315E+002,8.79023E+002,0.00000E+000
10/07/1976,8.78664E+002,8.92488E+002,8.62792E+002,8.68936E+002,0.00000E+000
10/08/1976,8.68577E+002,8.90388E+002,8.60859E+002,8.85019E+002,0.00000E+000
10/11/1976,8.86046E+002,9.11923E+002,8.86046E+002,9.00537E+002,0.00000E+000
10/12/1976,9.00180E+002,9.22499E+002,8.90438E+002,9.14882E+002,0.00000E+000
