Date,Open,High,Low,Close,Adj Close,TotalVolume
5/18/2012,42.05,45,38,38.23,,580587712
5/21/2012,36.53,36.66,33,34.03,,168309824
5/22/2012,32.61,33.59,30.94,31,,102053824
5/23/2012,31.37,32.5,31.36,32,,73721136
5/24/2012,32.95,33.21,31.77,33.03,,50275880
5/25/2012,32.9,32.95,31.11,31.91,,37189632
5/29/2012,31.48,31.69,28.65,28.84,,78060800
5/30/2012,28.69,29.55,27.86,28.19,,57267868
5/31/2012,28.55,29.67,26.83,29.6,,111639200
6/1/2012,28.89,29.15,27.39,27.72,,41855500
6/4/2012,27.2,27.65,26.44,26.9,,35230288
6/5/2012,26.7,27.76,25.75,25.87,,42473264
6/6/2012,26.07,27.17,25.52,26.81,,61487020
6/7/2012,27,27.35,26.15,26.31,,26167756
6/8/2012,26.55,27.76,26.44,27.1,,38033420
6/11/2012,27.18,28.07,26.83,27,,28225888
6/12/2012,27.48,27.77,26.96,27.4,,15822414
6/13/2012,27.66,28.1,27.1,27.27,,17118672
6/14/2012,27.65,28.32,27.38,28.29,,16854124
6/15/2012,28.5,30.1,28.35,30.01,,43563740
6/18/2012,29.95,32.08,29.41,31.41,,42978208
6/19/2012,31.53,32.18,30.7,31.91,,30848912
6/20/2012,31.92,31.93,31.15,31.6,,15558921
6/21/2012,31.67,32.5,31.51,31.84,,21875228
6/22/2012,32.41,33.45,32.06,33.05,,74833976
6/25/2012,32.86,33.02,31.55,32.06,,24352818
6/26/2012,32.69,33.44,32.5,33.1,,24858612
6/27/2012,32.46,32.9,31.9,32.23,,28599506
6/28/2012,31.96,32.19,30.9,31.36,,17713292
6/29/2012,31.92,31.99,30.76,31.09,,19526824
7/2/2012,31.25,31.73,30.55,30.77,,14131476
7/3/2012,30.91,31.44,30.8,31.2,,8765498
7/5/2012,31.32,31.63,31.02,31.47,,10036688
7/6/2012,31.44,31.9,31.26,31.73,,10949006
7/9/2012,32.1,32.88,31.99,32.17,,17785180
7/10/2012,32.43,32.48,31.16,31.47,,14276996
7/11/2012,31.48,31.56,30.55,30.97,,13027752
7/12/2012,30.7,31.4,30.6,30.81,,11306636
7/13/2012,31.04,31.07,30.56,30.72,,8117346
7/16/2012,30.5,30.5,28.21,28.25,,24672074
7/17/2012,28.48,28.59,27.15,28.09,,30438552
7/18/2012,28.31,29.29,28.15,29.11,,16841780
7/19/2012,29.41,29.5,28.63,29,,13685031
7/20/2012,29,29.47,28.72,28.76,,11869046
7/23/2012,28.12,29,28.01,28.75,,12393864
7/24/2012,28.82,29.45,28.1,28.45,,11539799
7/25/2012,28.39,29.49,28.08,29.34,,17230154
7/26/2012,27.75,28.23,26.73,26.84,,64597376
7/27/2012,23.19,24.54,22.28,23.7,,123098336
7/30/2012,24,24.04,23.03,23.15,,29285896
7/31/2012,23.37,23.37,21.61,21.71,,56179320
8/1/2012,21.5,21.58,20.84,20.88,,44604364
8/2/2012,20.77,20.84,19.82,20.04,,56374436
8/3/2012,20.36,22.16,19.9,21.09,,80646976
